Local/Regional government,Country,Project/Initiative,SDG,Featured in,Source,Link
/,/,Mercedes-Benz connected vehicles,3,SDG Local Solutions series: How connected vhicles can make street cities safer,https://sdglocalaction.org/connected-vehicles-safer-streets/,
Buenos Aires,Argentina,"Road Safety Plan
- Artificial intelligence for incident classification
- Automated data processing and predictive analytics
- Integration with healthcare and emergency response systems 
- Infrastructure and behavioral interventions ",3,SDG Local Solutions series: Traffic Management Policies: Experiences From Istanbul And Buenos Aires ,https://sdglocalaction.org/traffic-management-policies/,
Bridgetown,Barbados,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Bridgetown%20Barbados_HQP.pdf
Belize City,Belize,Urban Sustainability and Smart City Project,11,Stories,https://sdglocalaction.org/belize-smart-city/,https://www.belizecitycouncil.org/news.php?news_id=276
Belize City,Belize,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Belize%20City%20Belize_HQP.pdf
Toronto,Canada,Digital Infrastructure Strategic Framework,9,Stories,https://sdglocalaction.org/toronto-digital-infrastructure-strategic-framework/,https://www.toronto.ca/city-government/accountability-operations-customer-service/long-term-vision-plans-and-strategies/connected-community/digital-infrastructure-strategic-framework/
/,Colombia,Alert for My Environment,15,Stories,https://sdglocalaction.org/colombia-open-government-environment/,
Roseau,Dominican Rep.,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20%20roseau%20dominica_hqp.pdf
Nadi,Fiji,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20nadi%20fiji_hqp.pdf
Kumasi,Ghana,GMC Water sanitation project,6,SDG Local Solutions series: African cities innovatingi public service delivery: the cases of Kumasi (Ghana) and Kigali (Rwanda),https://sdglocalaction.org/building-resilient-cities/,https://sdglocalaction.org/kumasi-guideline/
Accra,Ghana,Accra Metropolitan Assembly Smart Sustainable Development Goals (SDGs) Cities Implementation Committee,11,Stories,https://sdglocalaction.org/accra-smart-sdg-cities-committee/,
Dublin,Ireland,"Smart Cities initiative
- Drone program",11,SDG Local Solutions series: Mapping Cities With Drones: The Experiences Of Dublin and Freetown,https://sdglocalaction.org/drones-map-cities/,https://smartdublin.ie/dublin-city-drone-strategy/
Turin,Italy,"First Life
CommonsHud",16,SDG Local Solutions series: Digital Participatory Tools: The Experiences Of Turin And Montevideo,https://sdglocalaction.org/digital-participatory-tools-2/,"First Life: https://www.firstlife.org/
CommonsHud: https://www.commonshood.eu/"
Yokohama,Japan,Smart City initiative,11,Stories,https://sdglocalaction.org/op-ed-shaping-cities/,https://www.city.yokohama.lg.jp/lang/overseas/climatechange/contents/energypolicy/yscp.html
Greater Amman Municipality,Jordan,Amman in Listening,16,SDG Local Solutions series: Using Data Platforms for Local Decision-Making,https://sdglocalaction.org/using-data-platforms-for-local-decision-making-2/,https://sdglocalaction.org/amman-is-listening/
